,,Sales Mix Report,,,,,
"CTLM CT OLD FSH STK 3Z,  Each",$4.29 ,9,$38.61 ,0.01%,$0.00 ,$0.00 ,$38.61 
"CTLM CT TX FLNK STK JK9Z,  Each",$16.59 ,4,$66.36 ,0.02%,$0.00 ,$0.00 ,$66.36 
"DUKES SRTY SAUS 3CT 1.25Z,  Each",$2.39 ,6,$14.34 ,0.01%,$0.00 ,$0.00 ,$14.34 
"DUKES SRTY SAUS ORG 5Z,  Each",$8.09 ,3,$24.27 ,0.01%,$0.00 ,$0.00 ,$24.27 
"DUKES SRTY SG TB HTCHL 1Z,  Each",$1.99 ,3,$5.97 ,0.00%,$0.00 ,$0.00 ,$5.97 
"EM EG HT&SPCY BF JRKY 4Z,  Each",$7.09 ,1,$7.09 ,0.00%,$0.00 ,$0.00 ,$7.09 
"EM EG ORIG BF JRKY 4Z,  Each",$7.09 ,1,$7.09 ,0.00%,$0.00 ,$0.00 ,$7.09 
"EM EG TRYK BF JRKY 4Z,  Each",$7.09 ,1,$7.09 ,0.00%,$0.00 ,$0.00 ,$7.09 
"JLNKS AMRCN BF&CHS 1.2Z,  Each",$1.89 ,6,$11.34 ,0.00%,$0.00 ,$0.00 ,$11.34 
"JLNKS BF JRKY TRYK 8Z,  Each",$17.09 ,3,$51.27 ,0.02%,$0.00 ,$0.00 ,$51.27 
"JLNKS JLPNO BF JRKY 3.25Z,  Each",$7.49 ,1,$7.49 ,0.00%,$0.00 ,$0.00 ,$7.49 
"JLNKS JLPNO BF&CHS 1.2Z,  Each",$1.89 ,7,$13.23 ,0.00%,$0.00 ,$0.00 ,$13.23 
"JLNKS ORG BF JMB STK 2Z,  Each",$3.39 ,3,$10.17 ,0.00%,$0.00 ,$0.00 ,$10.17 
"JLNKS ORG BF STX 1.5Z,  Each",$2.09 ,6,$12.54 ,0.00%,$0.00 ,$0.00 ,$12.54 
"JLNKS ORIG BF JRKY 10Z,  Each",$15.09 ,2,$30.18 ,0.01%,$0.00 ,$0.00 ,$30.18 
"JLNKS ORIG BF JRKY 3.25Z,  Each",$7.49 ,4,$29.96 ,0.01%,$0.00 ,$0.00 ,$29.96 
"JLNKS ORIG BF TNBTS 3.25Z,  Each",$7.49 ,1,$7.49 ,0.00%,$0.00 ,$0.00 ,$7.49 
"JLNKS PPR BF JMB STK 2Z,  Each",$3.39 ,1,$3.39 ,0.00%,$0.00 ,$0.00 ,$3.39 
"JLNKS PPR BF JRKY 10Z,  Each",$15.09 ,2,$30.18 ,0.01%,$0.00 ,$0.00 ,$30.18 
"JLNKS PPR BF JRKY 3.25Z,  Each",$7.49 ,3,$22.47 ,0.01%,$0.00 ,$0.00 ,$22.47 
"JLNKS SW&HT BF JRKY 3.25Z,  Each",$7.49 ,2,$14.98 ,0.01%,$0.00 ,$0.00 ,$14.98 
"JLNKS TRYK BF JMB STK 2Z,  Each",$3.39 ,17,$57.63 ,0.02%,$0.00 ,$0.00 ,$57.63 
"JLNKS TRYK BF JRKY 3.25Z,  Each",$7.49 ,4,$29.96 ,0.01%,$0.00 ,$0.00 ,$29.96 
"JLNKS TRYK BF TNBTS 3.25Z,  Each",$7.49 ,2,$14.98 ,0.01%,$0.00 ,$0.00 ,$14.98 
"JLNKS WLD MLD 2.2Z,  Each",$2.79 ,14,$39.06 ,0.01%,$0.00 ,$0.00 ,$39.06 
"JLNKS WLD STK HOT 2.2Z,  Each",$2.79 ,1,$2.79 ,0.00%,$0.00 ,$0.00 ,$2.79 
"JLNKS WLD STK ORIG 2.2Z,  Each",$2.79 ,3,$8.37 ,0.00%,$0.00 ,$0.00 ,$8.37 
"OBERTO SMOKARONI 3Z,  Each",$4.39 ,6,$26.34 ,0.01%,$0.00 ,$0.00 ,$26.34 
"OT HOT SMKD BF JRKY 10Z,  Each",$14.99 ,4,$59.96 ,0.02%,$0.00 ,$0.00 ,$59.96 
"OT OLD FSHND BF JRKY 10Z,  Each",$14.99 ,9,$134.91 ,0.05%,$0.00 ,$0.00 ,$134.91 
"OT OLD FSHND KPPRD BF 2Z,  Each",$3.29 ,13,$42.77 ,0.02%,$0.00 ,$0.00 ,$42.77 
"OT PPRD BF JRKY 10Z,  Each",$14.99 ,3,$44.97 ,0.02%,$0.00 ,$0.00 ,$44.97 
"OT PPRD KPPRD BF 2Z,  Each",$3.29 ,9,$29.61 ,0.01%,$0.00 ,$0.00 ,$29.61 
"OT TRYK BF JRKY 10Z,  Each",$14.99 ,6,$89.94 ,0.03%,$0.00 ,$0.00 ,$89.94 
"PNRS BIG MAMA SSG PCKL 2.4 ,  Each",$1.69 ,1,$1.69 ,0.00%,$0.00 ,$0.00 ,$1.69 
"SLM JM BF&CHS MLD 3Z,  Each",$3.99 ,4,$15.96 ,0.01%,$0.00 ,$0.00 ,$15.96 
"SLM JM GNT DILL PCKL .97Z,  Each",$0.59 ,1,$0.59 ,0.00%,$0.00 ,$0.00 ,$0.59 
"SLM JM GNT DILL PCKL .97Z,  Each",$1.18 ,2,$1.18 ,0.00%,$0.00 ,$0.00 ,$1.18 
"SLM JM GNT HOT AF 0.97Z,  Each",$1.69 ,1,$1.69 ,0.00%,$0.00 ,$0.00 ,$1.69 
"SLM JM GNT ORIG TWN 1.94Z,  Each",$2.69 ,7,$18.83 ,0.01%,$0.00 ,$0.00 ,$18.83 
"SLM JM MNSTR 1.94Z,  Each",$2.69 ,1,$2.69 ,0.00%,$0.00 ,$0.00 ,$2.69 
"SLM JM MNSTR TBSCO 1.94Z,  Each",$2.69 ,6,$16.14 ,0.01%,$0.00 ,$0.00 ,$16.14 
"TLLMK ZRO SGR 6.5Z,  Each",$15.09 ,2,$30.18 ,0.01%,$0.00 ,$0.00 ,$30.18 
"TLLMK ZRO SGR ORG 2.2Z,  Each",$6.99 ,3,$20.97 ,0.01%,$0.00 ,$0.00 ,$20.97 
MEAT SNACK Subtotal, ,188,"$1,106.72 ",0.39%,$0.00 ,$0.00 ,"$1,106.72 "
MIXED FRUIT NUTS AND SEEDS, , , , , , , 
"NT HRV FRT&NT TRLMX 2.25Z,  Each",$1.99 ,5,$9.95 ,0.00%,$0.00 ,$0.00 ,$9.95 
"PLNTRS TRL MX PB CHC 6Z,  Each",$3.59 ,4,$14.36 ,0.01%,$0.00 ,$0.00 ,$14.36 
MIXED FRUIT NUTS AND SEEDS Subtotal, ,9,$24.31 ,0.01%,$0.00 ,$0.00 ,$24.31 
MUFFINS, , , , , , , 
"BAP BANANA NUT MUFFIN 5.5Z,  Each",$2.29 ,6,$13.74 ,0.00%,$0.00 ,$0.00 ,$13.74 
"BAP BLUEBERRY MUFFIN 5.5Z,  Each",$2.29 ,4,$9.16 ,0.00%,$0.00 ,$0.00 ,$9.16 
"BAP CHOC CHIP MUFFIN 5.5Z,  Each",$2.29 ,2,$4.58 ,0.00%,$0.00 ,$0.00 ,$4.58 
"BAP CHOC CHOC MFN 5.5Z,  Each",$2.29 ,1,$2.29 ,0.00%,$0.00 ,$0.00 ,$2.29 
"BAP STRW CHS MUFFIN 6Z,  Each",$2.29 ,3,$6.87 ,0.00%,$0.00 ,$0.00 ,$6.87 
"HOST DBL CHC MGA MFN 5.5Z,  Each",$2.09 ,5,$10.45 ,0.00%,$0.00 ,$0.00 ,$10.45 
"PLSBRY MN CHC CHP MFN 3Z,  Each",$1.58 ,2,$1.58 ,0.00%,$0.00 ,$0.00 ,$1.58 
"PLSBRY MN CHC CHP MFN 3Z,  Each",$2.39 ,3,$7.17 ,0.00%,$0.00 ,$0.00 ,$7.17 
MUFFINS Subtotal, ,26,$55.84 ,0.02%,$0.00 ,$0.00 ,$55.84 
NUTS AND NUT ONLY MIXES, , , , , , , 
"BLUE D ALM SMKHS 4Z,  Each",$3.59 ,3,$10.77 ,0.00%,$0.00 ,$0.00 ,$10.77 
"BLUE D ALM WSB&SOY SC 4Z,  Each",$3.59 ,1,$3.59 ,0.00%,$0.00 ,$0.00 ,$3.59 
"MUNCHIES HN RST PNT 2.87Z,  Each",$0.99 ,9,$8.91 ,0.00%,$0.00 ,$0.00 ,$8.91 
"MUNCHIES HOT PNT 2.87Z,  Each",$0.99 ,14,$13.86 ,0.00%,$0.00 ,$0.00 ,$13.86 
"MUNCHIES SLTD PNT 3.25Z,  Each",$0.99 ,16,$15.84 ,0.01%,$0.00 ,$0.00 ,$15.84 
"NT HRV CHC&NT TRLMX 2.25Z,  Each",$1.99 ,8,$15.92 ,0.01%,$0.00 ,$0.00 ,$15.92 
"NT HRV CHL LMN ALM 2.25Z,  Each",$1.99 ,1,$1.99 ,0.00%,$0.00 ,$0.00 ,$1.99 
"NT HRV CSHW 2.5Z,  Each",$1.99 ,18,$35.82 ,0.01%,$0.00 ,$0.00 ,$35.82 
"NT HRV PSTCH 1.75Z,  Each",$1.99 ,1,$1.99 ,0.00%,$0.00 ,$0.00 ,$1.99 
"NT HRV SLT SPC CSHW 2.25Z,  Each",$1.99 ,9,$17.91 ,0.01%,$0.00 ,$0.00 ,$17.91 
"NT HRVST DLX MXD NT 2.25Z,  Each",$1.99 ,15,$29.85 ,0.01%,$0.00 ,$0.00 ,$29.85 
"PLNTRS CJN PSTCH 2.25Z,  Each",$2.49 ,4,$9.96 ,0.00%,$0.00 ,$0.00 ,$9.96 
"PLNTRS HNY RST CASHEWS 3,  Each",$2.59 ,3,$7.77 ,0.00%,$0.00 ,$0.00 ,$7.77 
"PLNTRS SLTD CSHWS 3Z,  Each",$2.79 ,2,$5.58 ,0.00%,$0.00 ,$0.00 ,$5.58 
"PLNTRS SLTD PEANUT 6,  Each",$2.59 ,1,$2.59 ,0.00%,$0.00 ,$0.00 ,$2.59 
"SHL CSHW POM&VAN 4Z,  Each",$4.99 ,1,$4.99 ,0.00%,$0.00 ,$0.00 ,$4.99 
"SHL POM PSTCH 4Z,  Each",$4.99 ,1,$4.99 ,0.00%,$0.00 ,$0.00 ,$4.99 
"WF FNCY RST NT MX 7Z,  Each",$6.99 ,1,$6.99 ,0.00%,$0.00 ,$0.00 ,$6.99 
"WF RST SLT CSHW 7Z,  Each",$5.99 ,3,$17.97 ,0.01%,$0.00 ,$0.00 ,$17.97 
"WND PST RST&SLT SHLD 2.5Z,  Each",$4.49 ,2,$8.98 ,0.00%,$0.00 ,$0.00 ,$8.98 
"WND PSTC 5Z,  Each",$4.59 ,6,$27.54 ,0.01%,$0.00 ,$0.00 ,$27.54 
"WND PSTC LGHT SLT 5Z,  Each",$4.59 ,5,$22.95 ,0.01%,$0.00 ,$0.00 ,$22.95 
"WND PSTC RS & SSLT 8Z,  Each",$7.59 ,1,$7.59 ,0.00%,$0.00 ,$0.00 ,$7.59 
"WND PSTC RSD SLT NSL 6Z,  Each",$7.09 ,2,$14.18 ,0.00%,$0.00 ,$0.00 ,$14.18 
"WND PSTC SWT CHIL 4.5Z,  Each",$4.49 ,7,$31.43 ,0.01%,$5.94 ,$0.00 ,$25.49 
NUTS AND NUT ONLY MIXES Subtotal, ,134,$329.96 ,0.12%,$5.94 ,$0.00 ,$324.02 
OTHER PACKAGED SWEET SNACKS, , , , , , , 
"RICE KRISPIE TRT ORIG2.2Z,  Each",$1.59 ,16,$25.44 ,0.01%,$0.00 ,$0.00 ,$25.44 
"RKT DNKD CHC 3.1Z,  Each",$2.29 ,2,$4.58 ,0.00%,$0.00 ,$0.00 ,$4.58 
OTHER PACKAGED SWEET SNACKS Subtotal, ,18,$30.02 ,0.01%,$0.00 ,$0.00 ,$30.02 
OTHER SALTY SNACKS, , , , , , , 
"CORNNUTS CHIL PICNTE 4Z,  Each",$1.69 ,5,$8.45 ,0.00%,$0.00 ,$0.00 ,$8.45 
"CORNNUTS RANCH 4 OZ,  Each",$1.69 ,7,$11.83 ,0.00%,$0.00 ,$0.00 ,$11.83 
"SUNCHIPS GRDN SLS 7Z,  Each",$3.29 ,11,$36.19 ,0.01%,$0.00 ,$0.00 ,$36.19 
"SUNCHIPS HRVS CHDR 7Z,  Each",$3.29 ,7,$23.03 ,0.01%,$0.00 ,$0.00 ,$23.03 
OTHER SALTY SNACKS Subtotal, ,30,$79.50 ,0.03%,$0.00 ,$0.00 ,$79.50 
PASTRIES, , , , , , , 
"BAP PAN DE QUESO 4Z,  Each",$2.29 ,7,$16.03 ,0.01%,$0.00 ,$0.00 ,$16.03 
"BIMBO DONAS SUGARED 3.53Z,  Each",$1.99 ,6,$11.94 ,0.00%,$0.00 ,$0.00 ,$11.94 
"BIMBO DORADITS 3.89,  Each",$1.99 ,7,$13.93 ,0.00%,$0.00 ,$0.00 ,$13.93 
"BIMBO MINI MANTCDS 4.23Z,  Each",$1.99 ,7,$13.93 ,0.00%,$0.00 ,$0.00 ,$13.93 
"BIMBO MINI MANTCDS 4.34Z,  Each",$1.99 ,9,$17.91 ,0.01%,$0.00 ,$0.00 ,$17.91 
"BIMBO NITO DUO 4.37OZ,  Each",$1.99 ,5,$9.95 ,0.00%,$0.00 ,$0.00 ,$9.95 
"BIMBO PANQUECITOS 3.52Z,  Each",$1.99 ,6,$11.94 ,0.00%,$0.00 ,$0.00 ,$11.94 
"BIMBO REBANADAS 3.88Z,  Each",$1.69 ,8,$13.52 ,0.00%,$0.00 ,$0.00 ,$13.52 
"BIMBUNUELOS 2.11,  Each",$1.99 ,8,$15.92 ,0.01%,$0.00 ,$0.00 ,$15.92 
"CANELITAS TUB,  Each",$2.59 ,6,$15.54 ,0.01%,$0.00 ,$0.00 ,$15.54 
"CHOCORROLES 2.4 OZ,  Each",$1.99 ,13,$25.87 ,0.01%,$0.00 ,$0.00 ,$25.87 
"CONCHAS 3.52 OZ,  Each",$1.99 ,7,$13.93 ,0.00%,$0.00 ,$0.00 ,$13.93 
"GANSITO 3.52 OZ,  Each",$1.99 ,14,$27.86 ,0.01%,$0.00 ,$0.00 ,$27.86 
"MRNLA LUXE CHOC CRM 2.82Z,  Each",$1.99 ,1,$1.99 ,0.00%,$0.00 ,$0.00 ,$1.99 
"PANQUE CASERO EA,  Each",$3.09 ,4,$12.36 ,0.00%,$0.00 ,$0.00 ,$12.36 
"PANQUE CON NUECES 8.82,  Each",$3.09 ,10,$30.90 ,0.01%,$0.00 ,$0.00 ,$30.90 
"PANQUE CON PASAS 8.82,  Each",$3.09 ,3,$9.27 ,0.00%,$0.00 ,$0.00 ,$9.27 
"PINGUINOS 2.8OZ,  Each",$1.99 ,12,$23.88 ,0.01%,$0.00 ,$0.00 ,$23.88 
"POLVORONES 9.87,  Each",$2.59 ,8,$20.72 ,0.01%,$0.00 ,$0.00 ,$20.72 
"ROLES DE CANELA 12.88,  Each",$3.59 ,7,$25.13 ,0.01%,$0.00 ,$0.00 ,$25.13 
"SPONCH 3.17,  Each",$1.99 ,16,$31.84 ,0.01%,$0.00 ,$0.00 ,$31.84 
PASTRIES Subtotal, ,164,$364.36 ,0.13%,$0.00 ,$0.00 ,$364.36 
PIES, , , , , , , 
"HOST APL PIE 4.5Z,  Each",$2.09 ,6,$12.54 ,0.00%,$0.00 ,$0.00 ,$12.54 
PIES Subtotal, ,6,$12.54 ,0.00%,$0.00 ,$0.00 ,$12.54 
POPCORN, , , , , , , 
"ANGIES BCP S&S KTL 2.25Z,  Each",$2.59 ,9,$23.31 ,0.01%,$0.00 ,$0.00 ,$23.31 
"CHEETOS CHDR PCRN 2Z,  Each",$1.89 ,5,$9.45 ,0.00%,$0.00 ,$0.00 ,$9.45 
"CHEETOS CHDR PCRN 7Z,  Each",$3.99 ,4,$15.96 ,0.01%,$0.00 ,$0.00 ,$15.96 
"CHEETOS FLMN HT PCRN 2Z,  Each",$1.89 ,2,$3.78 ,0.00%,$0.00 ,$0.00 ,$3.78 
"CHEETOS FLMN HT PCRN 6.5Z,  Each",$3.99 ,7,$27.93 ,0.01%,$0.00 ,$0.00 ,$27.93 
"PIRATES BOOTY WHT CHDR 1Z,  Each",$1.69 ,4,$6.76 ,0.00%,$0.00 ,$0.00 ,$6.76 
"SKNNYPOP ORIG 1Z,  Each",$1.69 ,3,$5.07 ,0.00%,$0.00 ,$0.00 ,$5.07 
"SKNNYPOP WHT CHDR 1Z,  Each",$1.69 ,2,$3.38 ,0.00%,$0.00 ,$0.00 ,$3.38 
"SMARTFOOD FLAMIN HOT 2Z,  Each",$1.89 ,1,$1.89 ,0.00%,$0.00 ,$0.00 ,$1.89 
"SMARTFOOD WHT CHDR 2Z,  Each",$1.89 ,8,$15.12 ,0.01%,$0.00 ,$0.00 ,$15.12 
"SMARTFOOD WHT CHDR 6.75Z,  Each",$3.99 ,7,$27.93 ,0.01%,$0.00 ,$0.00 ,$27.93 
POPCORN Subtotal, ,52,$140.58 ,0.05%,$0.00 ,$0.00 ,$140.58 
POTATO CHIPS AND STRAWS, , , , , , , 
"DORITOS NACHO 9.75Z,  Each",$4.29 ,11,$47.19 ,0.02%,$0.00 ,$0.00 ,$47.19 
"KETTLE CHIP JALAPENO 2Z,  Each",$1.79 ,6,$10.74 ,0.00%,$0.00 ,$0.00 ,$10.74 
"KETTLE CHIP LT SALTED 2Z,  Each",$1.79 ,2,$3.58 ,0.00%,$0.00 ,$0.00 ,$3.58 
"KETTLE CHIP SLT& PEPPER 2Z,  Each",$1.79 ,4,$7.16 ,0.00%,$0.00 ,$0.00 ,$7.16 
"KETTLE CHIPS SALT VGR 2Z,  Each",$1.79 ,9,$16.11 ,0.01%,$0.00 ,$0.00 ,$16.11 
"LAYS BBQ 2.62Z,  Each",$1.89 ,16,$30.24 ,0.01%,$0.00 ,$0.00 ,$30.24 
"LAYS BBQ 7.75Z,  Each",$3.79 ,8,$30.32 ,0.01%,$0.00 ,$0.00 ,$30.32 
"LAYS CHDR JALA 2.62Z,  Each",$1.89 ,11,$20.79 ,0.01%,$0.00 ,$0.00 ,$20.79 
"LAYS CLASSIC 2.62Z,  Each",$1.89 ,26,$49.14 ,0.02%,$0.00 ,$0.00 ,$49.14 
"LAYS CLASSIC 8Z,  Each",$3.79 ,6,$22.74 ,0.01%,$0.00 ,$0.00 ,$22.74 
"LAYS FLMN HT 2.625Z,  Each",$1.89 ,7,$13.23 ,0.00%,$0.00 ,$0.00 ,$13.23 
"LAYS KTL FLMN HT 2.5Z,  Each",$1.89 ,3,$5.67 ,0.00%,$0.00 ,$0.00 ,$5.67 
"LAYS KTL JALA 2.5Z,  Each",$1.89 ,2,$3.78 ,0.00%,$0.00 ,$0.00 ,$3.78 
"LAYS LIMON 2.62Z,  Each",$1.89 ,18,$34.02 ,0.01%,$0.00 ,$0.00 ,$34.02 
"LAYS SLT & VNG 2.625Z,  Each",$1.89 ,20,$37.80 ,0.01%,$0.00 ,$0.00 ,$37.80 
"LAYS SR CRM&ON 2.62Z,  Each",$1.89 ,8,$15.12 ,0.01%,$0.00 ,$0.00 ,$15.12 
"MUNCHIES CHEESE FIX 8Z,  Each",$3.29 ,7,$23.03 ,0.01%,$0.00 ,$0.00 ,$23.03 
"PRINGLES BBQ 2.5Z,  Each",$1.69 ,7,$11.83 ,0.00%,$0.00 ,$0.00 ,$11.83 
"PRINGLES BBQ 5.57Z,  Each",$2.99 ,3,$8.97 ,0.00%,$0.00 ,$0.00 ,$8.97 
"PRINGLES CHDR 2.5Z,  Each",$1.69 ,4,$6.76 ,0.00%,$0.00 ,$0.00 ,$6.76 
"PRINGLES JALA 2.5Z,  Each",$1.69 ,2,$3.38 ,0.00%,$0.00 ,$0.00 ,$3.38 
"PRINGLES ORIG 2.36Z,  Each",$1.69 ,8,$13.52 ,0.00%,$0.00 ,$0.00 ,$13.52 
"PRINGLES ORIG 5.2Z,  Each",$2.99 ,6,$17.94 ,0.01%,$0.00 ,$0.00 ,$17.94 
"PRINGLES PIZZA 5.5Z,  Each",$2.99 ,2,$5.98 ,0.00%,$0.00 ,$0.00 ,$5.98 
"PRINGLES SR CR & ON 2.5Z,  Each",$1.69 ,2,$3.38 ,0.00%,$0.00 ,$0.00 ,$3.38 
"PRINGLES SR CR&ON 5.5Z,  Each",$2.99 ,4,$11.96 ,0.00%,$0.00 ,$0.00 ,$11.96 
"PRINGLES WVY JALA 4.8Z,  Each",$2.99 ,2,$5.98 ,0.00%,$0.00 ,$0.00 ,$5.98 
"RUFFLES CHD&SR CRM 2.5Z,  Each",$1.89 ,33,$62.37 ,0.02%,$1.35 ,$0.00 ,$61.02 
"RUFFLES CLSC 8.5Z,  Each",$4.29 ,8,$34.32 ,0.01%,$0.00 ,$0.00 ,$34.32 
"RUFFLES DC HOT WING 2.37Z,  Each",$1.89 ,8,$15.12 ,0.01%,$0.90 ,$0.00 ,$14.22 
"RUFFLES DC ZSTYCHD 2.37Z,  Each",$1.89 ,5,$9.45 ,0.00%,$0.23 ,$0.00 ,$9.22 
"RUFFLES JALA RNCH 2.5Z,  Each",$1.89 ,11,$20.79 ,0.01%,$0.45 ,$0.00 ,$20.34 
"RUFFLES LIME & JALA 2.5Z,  Each",$1.89 ,16,$30.24 ,0.01%,$2.25 ,$0.00 ,$27.99 
"RUFFLES QUESO 2.5Z,  Each",$1.89 ,22,$41.58 ,0.01%,$2.02 ,$0.00 ,$39.56 
"RUFFLES REG 9Z,  Each",$4.29 ,1,$4.29 ,0.00%,$0.00 ,$0.00 ,$4.29 
POTATO CHIPS AND STRAWS Subtotal, ,308,$678.52 ,0.24%,$7.20 ,$0.00 ,$671.32 
PRETZELS, , , , , , , 
"COMBOS JALA CHDR 6.3Z,  Each",$2.89 ,2,$5.78 ,0.00%,$0.00 ,$0.00 ,$5.78 
"DOTS HOMESTYLE PRTZ 5Z,  Each",$4.39 ,4,$17.56 ,0.01%,$0.00 ,$0.00 ,$17.56 
"FLIPZ MLK CHC PRTZL 5Z,  Each",$3.19 ,6,$19.14 ,0.01%,$0.00 ,$0.00 ,$19.14 
"FLIPZ WHT FDG PRTZL 5Z,  Each",$3.19 ,5,$15.95 ,0.01%,$0.00 ,$0.00 ,$15.95 
"HRSHY DIP PRTZL 4.25Z,  Each",$2.79 ,9,$25.11 ,0.01%,$0.00 ,$0.00 ,$25.11 
"ROLD GOLD RCP#5 S BTR 11Z,  Each",$4.99 ,1,$4.99 ,0.00%,$0.00 ,$0.00 ,$4.99 
"ROLD GOLD THINS 4Z,  Each",$1.89 ,2,$3.78 ,0.00%,$0.00 ,$0.00 ,$3.78 
"SNYDERS PRTZL MINI 3.5Z,  Each",$1.49 ,8,$11.92 ,0.00%,$0.00 ,$0.00 ,$11.92 
PRETZELS Subtotal, ,37,$104.23 ,0.04%,$0.00 ,$0.00 ,$104.23 
SEEDS, , , , , , , 
"BIGS TACO SUPREM SD 5.35Z,  Each",$2.29 ,7,$16.03 ,0.01%,$0.00 ,$0.00 ,$16.03 
"DAVID PUMPKIN SD 5,  Each",$3.79 ,4,$15.16 ,0.01%,$0.00 ,$0.00 ,$15.16 
"DAVID SD JMB ORIG 5.25Z,  Each",$1.99 ,2,$3.98 ,0.00%,$0.00 ,$0.00 ,$3.98 
"DAVID SD REDCD SLT 5.25Z,  Each",$1.99 ,2,$3.98 ,0.00%,$0.00 ,$0.00 ,$3.98 
"DAVID SD SNFLWR RNC 5.25Z,  Each",$1.99 ,4,$7.96 ,0.00%,$0.00 ,$0.00 ,$7.96 
"DAVID SD SNFWLR 5.25Z,  Each",$1.99 ,2,$3.98 ,0.00%,$0.00 ,$0.00 ,$3.98 
"SPITZ  DILL PCKL SD 16Z,  Each",$3.99 ,1,$3.99 ,0.00%,$0.00 ,$0.00 ,$3.99 
"SPITZ CHILI LIME 6Z,  Each",$1.89 ,2,$3.78 ,0.00%,$0.00 ,$0.00 ,$3.78 
"SPITZ CRCK PPR SD 16Z,  Each",$3.99 ,1,$3.99 ,0.00%,$0.00 ,$0.00 ,$3.99 
"SPITZ CRCK PPR SD 6Z,  Each",$1.89 ,4,$7.56 ,0.00%,$0.00 ,$0.00 ,$7.56 
"SPITZ PMPKN CRCK PPR 4Z,  Each",$2.39 ,1,$2.39 ,0.00%,$0.00 ,$0.00 ,$2.39 
"SPITZ SMOKY BBQ 6Z,  Each",$1.89 ,20,$37.80 ,0.01%,$0.00 ,$0.00 ,$37.80 
"SPITZ SUNFLOWER SD DILL 6,  Each",$1.89 ,8,$15.12 ,0.01%,$0.00 ,$0.00 ,$15.12 
"SPITZ SUNFLOWER SD SLT 6,  Each",$1.89 ,10,$18.90 ,0.01%,$0.00 ,$0.00 ,$18.90 
"SUNFLOWER SD REG 3.75Z,  Each",$0.99 ,3,$2.97 ,0.00%,$0.00 ,$0.00 ,$2.97 
SEEDS Subtotal, ,71,$147.59 ,0.05%,$0.00 ,$0.00 ,$147.59 
SNACK MIXES, , , , , , , 
"BRKTHNS CHC ALM 4.7Z,  Each",$5.09 ,3,$15.27 ,0.01%,$0.00 ,$0.00 ,$15.27 
"BRKTHNS CHC PRTZL 4.7Z,  Each",$5.09 ,2,$10.18 ,0.00%,$0.00 ,$0.00 ,$10.18 
"CHEEZ-IT DBL CHS SNK MIX 6PK,  Each",$2.39 ,5,$11.95 ,0.00%,$0.00 ,$0.00 ,$11.95 
"CHEEZ-IT DUOZ CHDR/PRMSN 6PK,  Each",$2.39 ,4,$9.56 ,0.00%,$0.00 ,$0.00 ,$9.56 
"CHEEZ-IT DUOZ CRMLPPCH 4Z,  Each",$2.39 ,1,$2.39 ,0.00%,$0.00 ,$0.00 ,$2.39 
"CHEX MAXD BFL RNCH 4.25Z,  Each",$2.59 ,6,$15.54 ,0.01%,$0.00 ,$0.00 ,$15.54 
"CHEX MIX BOLD PTY 3.75Z,  Each",$2.09 ,5,$10.45 ,0.00%,$0.00 ,$0.00 ,$10.45 
"CHEX MIX CHDR 3.75Z,  Each",$2.09 ,1,$2.09 ,0.00%,$0.00 ,$0.00 ,$2.09 
"CHEX MIX CHDR 8.75,  Each",$3.39 ,6,$20.34 ,0.01%,$0.00 ,$0.00 ,$20.34 
"CHEX MIX MB CKI&CRM 4.25Z,  Each",$2.59 ,2,$5.18 ,0.00%,$0.00 ,$0.00 ,$5.18 
"CHEX MIX MB PB&CHC 4.5Z,  Each",$2.59 ,3,$7.77 ,0.00%,$0.00 ,$0.00 ,$7.77 
"CHEX MIX MDY BDY BRN 4.5Z,  Each",$2.59 ,3,$7.77 ,0.00%,$0.00 ,$0.00 ,$7.77 
"CHEX MIX TRAD 8.75,  Each",$3.39 ,5,$16.95 ,0.01%,$0.00 ,$0.00 ,$16.95 
"CHEX MIX TRD 3.75Z,  Each",$2.09 ,1,$2.09 ,0.00%,$0.00 ,$0.00 ,$2.09 
"GARDETTO CSP PPRCN RCH 3Z,  Each",$2.59 ,3,$7.77 ,0.00%,$0.00 ,$0.00 ,$7.77 
"GARDETTO GRLC RYE CP 4.75,  Each",$2.49 ,5,$12.45 ,0.00%,$0.00 ,$0.00 ,$12.45 
"GARDETTO ORIG 5.5,  Each",$2.59 ,27,$69.93 ,0.02%,$0.00 ,$0.00 ,$69.93 
"GARDETTO SPCL ITLN 5,  Each",$2.59 ,8,$20.72 ,0.01%,$0.00 ,$2.59 ,$18.13 
"KBLR CHEESE/PNTBTR 1.8,  Each",$0.89 ,16,$14.24 ,0.00%,$0.00 ,$0.00 ,$14.24 
"KBLR TOAST N PNTBTR 1.8,  Each",$0.89 ,19,$16.91 ,0.01%,$0.00 ,$0.00 ,$16.91 
"MUNCHIES SNCK MX CLSC 3Z,  Each",$1.89 ,3,$5.67 ,0.00%,$0.00 ,$0.00 ,$5.67 
"MUNCHIES SNCK MX HT 3Z,  Each",$1.89 ,3,$5.67 ,0.00%,$0.00 ,$0.00 ,$5.67 
"PLNTRS TRL MX NUT/CHC 6Z,  Each",$3.59 ,2,$7.18 ,0.00%,$0.00 ,$0.00 ,$7.18 
"PLNTRS TRL MX SWT&NUT 6Z,  Each",$3.59 ,5,$17.95 ,0.01%,$0.00 ,$0.00 ,$17.95 
